merchant_id,shop_code,NAME
1014081700000000,10086,金蝶店(测试专用)
1014081700000051,10010,金蝶测试专用
1014081700000070,12301,金蝶店(测试)
1014081800000000,12344,都是大大
1298077705000000,119,无锡永乐店
1298077705000001,155,无锡凤翔店
1298077705000002,156,无锡奥林花园店
1298077705000003,160,无锡哥伦布店
1298077705000004,163,无锡宝龙店
1298077705000005,198,无锡阳光店
1298077705000006,121,苏州体育中心店
1298077705000007,140,苏州东环店
1298077705000008,158,苏州中翔店
1298077705000009,159,苏州人民北路店
1298077705000010,111,上海曲阳店
1298077705000011,112,上海武宁店
1298077705000012,114,上海古北店
1298077705000013,118,上海宝山店
1298077705000014,123,上海万里店
1298077705000015,134,上海中山公园店
1298077705000016,145,上海南翔店
1298077705000017,146,上海徐汇店
1298077705000018,151,上海真北店
1298077705000019,170,上海虹口店
1298077705000020,177,上海万达店
1298077705000021,166,上海宜山店
1298077705000022,190,上海柳州店
1298077705000023,113,上海金桥店
1298077705000024,115,上海南方店
1298077705000025,124,上海联洋店
1298077705000026,129,上海七宝店
1298077705000027,135,上海新里城店
1298077705000028,148,上海巨峰店
1298077705000029,150,上海徐泾店
1298077705000030,149,张江店
1298077705000031,147,上海莘庄店
1298077705000032,144,上海川沙店
1298077705000033,182,上海新南店
1298077705000034,194,上海曹路店
1298077705000035,197,上海青浦店
1298077705000036,196,上海浦江店
1298077705000037,103,上海漕盈店
1298077705000038,101,上海松江店
1298077705000039,106,上海成山路店
1298077705000040,997,Easy上海黄金城道店
1298077705000041,994,Easy上海威宁路店
1298077705000042,995,Easy上海星游城店
1298077705000043,991,Easy上海打浦路店
1298077705000044,996,Easy上海局门路店
1298077705000045,998,Easy上海茶陵北路店
1298077705000046,982,Easy上海绿地瑞平路店
1298077705000047,976,Easy上海万科新天地店
1298077705000048,981,Easy上海陆家嘴杨高南店
1298077705000049,980,Easy上海海防路店
1298077705000050,993,Easy上海中潭路店
1298077705000051,990,Easy上海嘉里共和店
1298077705000052,985,Easy上海长兴路店
1298077705000053,975,Easy上海品尊店
1298077705000054,989,Easy上海樱花路店
1298077705000055,978,Easy上海大华北艾店
1298077705000056,983,Easy上海四川北路店
1298077705000057,971,Easy上海通协路店
1298077705000058,970,Easy上海国耀路店
1298077705000059,967,Easy上海凤阳路店
1298077705000060,966,Easy上海恒通路店
1298077705000061,962,Easy上海镇宁路店
1298077705000062,974,Easy上海万科虹桥店
1298077705000063,963,Easy上海四川北路邮电局店
1298077705000064,960,Easy上海南洋泾店
1298077705000065,959,Easy上海古美路店
1298077705000066,961,Easy上海绿地中科店
1298077705000067,958,Easy上海亮秀路店
1298077705000068,116,南京大桥店
1298077705000069,128,南京大行宫店
1298077705000070,157,南京河西中央公园店
1298077705000071,188,南京大华店
1298077705000072,117,宁波江东店
1298077705000073,154,宁波北仑店
1298077705000074,211,深圳南头店
1298077705000075,214,深圳梅林店
1298077705000076,222,深圳新洲店
1298077705000077,224,深圳红岭店
1298077705000078,225,深圳香缤店
1298077705000079,228,深圳西乡店
1298077705000080,230,深圳中心广场店
1298077705000081,232,深圳保利店
1298077705000082,231,东莞世纪广场店
1298077705000083,237,东莞鸿福店
1298077705000084,241,东莞花城店
1298077705000085,239,东莞宏伟店
1298077705000086,215,广州万国店
1298077705000087,217,广州康王店
1298077705000088,218,广州新市店
1298077705000089,219,广州员村店
1298077705000090,229,海口南亚店
1298077705000091,235,海口金龙店
1298077705000092,240,海口红城湖店
1298077705000093,252,海口鹏辉店
1298077705000094,223,厦门明发店
1298077705000095,169,厦门中华城店
1298077705000096,315,成都八宝街店
1298077705000097,316,成都大世界店
1298077705000098,321,成都双桥子店
1298077705000099,328,成都青石桥店
1298077705000100,339,成都羊西店
1298077705000101,340,成都红牌楼店
1298077705000102,343,成都府青路店
1298077705000103,344,成都温江店
1298077705000104,349,成都大邑店
1298077705000105,350,成都华阳店
1298077705000106,356,成都新都店
1298077705000107,357,成都大丰店
1298077705000108,360,成都青白江店
1298077705000109,361,成都邛崃店
1298077705000110,372,成都永康店
1298077705000111,373,成都科华路店
1298077705000112,317,昆明世纪广场店
1298077705000113,318,昆明白云店
1298077705000114,227,昆明云纺店
1298077705000115,226,昆明龙泉店
1298077705000116,236,昆明世纪城店
1298077705000117,348,昆明正大店
1298077705000118,347,昆明南亚店
1298077705000119,245,昆明东华店
1298077705000120,249,昆明广福店
1298077705000121,244,安宁珍泉店
1298077705000122,312,重庆棉花街店
1298077705000123,311,重庆金观音店
1298077705000124,322,重庆杨家坪店
1298077705000125,325,重庆沙坪坝店
1298077705000126,334,重庆袁家岗店
1298077705000127,341,重庆南坪上海城店
1298077705000128,363,重庆二郎店
1298077705000129,011,北京创益佳店
1298077705000130,018,北京方圆店
1298077705000131,027,北京中关村店
1298077705000132,041,北京天通苑店
1298077705000133,043,北京望京店
1298077705000134,051,北京慈云寺店
1298077705000135,042,北京健翔店
1298077705000136,053,北京姚家园店
1298077705000137,061,北京大钟寺店
1298077705000138,092,北京新顺店
1298077705000139,091,北京四元桥店
1298077705000140,095,北京天竺店
1298077705000141,019,北京方庄店
1298077705000142,016,北京马连道店
1298077705000143,030,北京双井店
1298077705000144,040,北京通州店
1298077705000145,048,北京广渠门店
1298077705000146,046,北京鲁谷店
1298077705000147,054,北京马家堡店
1298077705000148,060,北京定慧桥店
1298077705000149,062,北京良乡店
1298077705000150,012,天津南开店
1298077705000151,013,天津龙城店
1298077705000152,023,天津河北店
1298077705000153,024,天津河东店
1298077705000154,022,天津海光寺店
1298077705000155,014,青岛明达店
1298077705000156,020,青岛新兴店
1298077705000157,067,石家庄中华店
1298077705000158,066,石家庄柏林店
1298077705000159,069,石家庄金谈固店
1298077705000160,065,石家庄留营店
1298077705000161,084,石家庄中山路店
1298077705000162,021,哈尔滨永平店
1298077705000163,034,哈尔滨乐松店
1298077705000164,033,哈尔滨会展中心店
1298077705000165,038,哈尔滨新阳店
1298077705000166,039,哈尔滨大直街店
1298077705000167,073,哈尔滨民生路店
1298077705000168,015,沈阳北站店
1298077705000169,029,沈阳金牛店
1298077705000170,032,沈阳文化店
1298077705000171,036,沈阳塔湾店
1298077705000172,037,沈阳吉祥店
1298077705000173,044,沈阳青年大街店
1298077705000174,052,沈阳云峰店
1298077705000175,055,沈阳于洪广场店
1298077705000176,072,沈阳富民桥店
1298077705000177,082,沈阳龙之梦店
1298077705000178,086,沈阳启工店
1298077705000179,096,沈阳惠工店
1298077705000180,017,大连黄河店
1298077705000181,026,大连中山店
1298077705000182,058,大连北京公园店
1298077705000183,094,大连华南店
